Term,Land Use,Definition
Home-based Child Care,,Means a family day care residence (within the meaning of the Children (Education and Care Services) National Law (NSW)) at which the education and care service is provided at any one time to no more than 7 children (including any child of the person providing the service) all of whom are under the age of 13 years and no more than 4 of whom are children who do not ordinarily attend school.Note 1— A family day care residence is a residence at which a family day care educator educates and cares for children as part of a family day care service—see the Children (Education and Care Services) National Law (NSW).Note 2— Home-based child care is a type of early education and care facility—see the definition of that term in this Dictionary.
Horizontal Plane,No,", in relation to a light fitting, means the horizontal plane passing through the centre of the light source (for example, the bulb) of the light fitting."
Horticulture,,"Means the cultivation of fruits, vegetables, mushrooms, nuts, cut flowers and foliage and nursery products for commercial purposes, but does not include a plant nursery, turf farming or viticulture.Note— Horticulture is a type of intensive plant agriculture—see the definition of that term in this Dictionary."
Hospital,,"Means a building or place used for the purpose of providing professional health care services (such as preventative or convalescent care, diagnosis, medical or surgical treatment, psychiatric care or care for people with disabilities, or counselling services provided by health care professionals) to people admitted as in-patients (whether or not out-patients are also cared for or treated there), and includes ancillary facilities for (or that consist of) any of the following— (a) day surgery, day procedures or health consulting rooms, (b) accommodation for nurses or other health care workers, (c) accommodation for persons receiving health care or for their visitors, (d) shops, kiosks, restaurants or cafes or take away food and drink premises, (e) patient transport facilities, including helipads, ambulance facilities and car parking, (f) educational purposes or any other health-related use, (g) research purposes (whether or not carried out by hospital staff or health care workers or for commercial purposes), (h) chapels, (i) hospices, (j) mortuaries.Note— Hospitals are a type of health services facility—see the definition of that term in this Dictionary."
Hostel,,"Means premises that are generally staffed by social workers or support providers and at which— (a) residential accommodation is provided in dormitories, or on a single or shared basis, or by a combination of them, and (b) cooking, dining, laundering, cleaning and other facilities are provided on a shared basis.Note— Hostels are a type of residential accommodation—see the definition of that term in this Dictionary."
Hotel Or Motel Accommodation,,"Means a building or place (whether or not licensed premises under the Liquor Act 2007) that provides temporary or short-term accommodation on a commercial basis and that— (a) comprises rooms or self-contained suites, and (b) may provide meals to guests or the general public and facilities for the parking of guests’ vehicles, but does not include backpackers’ accommodation, a boarding house, bed and breakfast accommodation or farm stay accommodation.Note— Hotel or motel accommodation is a type of tourist and visitor accommodation—see the definition of that term in this Dictionary."
Independent Living Unit,,"Means a dwelling or part of a building, whether or not attached to another dwelling— (a) used to house seniors or people with a disability, and (b) containing private facilities for cooking, sleeping and bathing, and (c) where clothes washing facilities or other facilities for use in connection with the dwelling or part of a building may be provided on a shared basis, but does not include a hostel.Note— Independent living units are a type of seniors housing—see the definition of that term in this Dictionary."
Industrial Activity,No,"Means the manufacturing, production, assembling, altering, formulating, repairing, renovating, ornamenting, finishing, cleaning, washing, dismantling, transforming, processing, recycling, adapting or servicing of, or the research and development of, any goods, substances, food, products or articles for commercial purposes, and includes any storage or transportation associated with any such activity."
Industrial Retail Outlet,,"Means a building or place that— (a) is used in conjunction with an industry (other than an artisan food and drink industry) or rural industry, and (b) is situated on the land on which the industry or rural industry is located, and (c) is used for the display or sale (whether by retail or wholesale) of only those goods that have been manufactured on the land on which the industry or rural industry is located, but does not include a warehouse or distribution centre.Note— See clause 5.4 for controls relating to the retail floor area of an industrial retail outlet."
Industrial Training Facility,,"Means a building or place used in connection with vocational training in an activity (such as forklift or truck driving, welding or carpentry) that is associated with an industry, rural industry, extractive industry or mining, but does not include an educational establishment, business premises or retail premises."
Industry,No,—see the definition of that term in this Dictionary.
Information And Education Facility,,"Means a building or place used for providing information or education to visitors, and the exhibition or display of items, and includes an art gallery, museum, library, visitor information centre and the like."
Intensive Aquaculture,,Has the same meaning as it has in the Fisheries Management (Aquaculture) Regulation 2017.
Intensive Livestock Agriculture,,—see the definition of that term in this Dictionary.
Intensive Plant Agriculture,,—see the definition of that term in this Dictionary.
Jetty,,Means a horizontal decked walkway providing access from the shore to the waterway and is generally constructed on a piered or piled foundation.
Kiosk,,"Means premises that are used for the purposes of selling food, light refreshments and other small convenience items.Note— See clause 5.4 for controls relating to the gross floor area of a kiosk.Kiosks are a type of retail premises—see the definition of that term in this Dictionary."
Land Application Map,No,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Land Application Map.
Land Reservation Acquisition Map,No,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Land Reservation Acquisition Map.
Land Zoning Map,,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Land Zoning Map.
Landholding,,"Means an area of land— (a) constituted or worked as a single property, and (b) if comprising more than 1 lot—the lots are— (i) contiguous, or (ii) separated only by a road or watercourse."
Landscaped Area,No,"Means a part of a site used for growing plants, grasses and trees, but does not include any building, structure or hard paved area."
Landscaping Material Supplies,,"Means a building or place used for the storage and sale of landscaping supplies such as soil, gravel, potting mix, mulch, sand, railway sleepers, screenings, rock and the like.Note— Landscaping material supplies are a type of retail premises—see the definition of that term in this Dictionary."
Licensed Premises,,Has the same meaning as in the Liquor Act 2007.
Light Industry,,—see the definition of that term in this Dictionary.
Light Pollution,,Means brightening of the night sky caused by artificial light.
Liquid Fuel Depot,,"Means premises used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at which no retail trade is conducted.Note— Liquid fuel depots are a type of heavy industrial storage establishment—see the definition of that term in this Dictionary."
Lit Development,No,Means development that is likely to result in the emission of light.
Livestock Processing Industry,,"Means a building or place used for the commercial production of products derived from the slaughter of animals (including poultry) or the processing of skins or wool of animals and includes abattoirs, knackeries, tanneries, woolscours and rendering plants.Note— Livestock processing industries are a type of rural industry—see the definition of that term in this Dictionary."
Local Distribution Premises,,"Means a building or place used for the storage or handling of items (whether goods or materials) pending their delivery to people and businesses in the local area, but from which no retail sales are made."
Lot Size Map,No,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Lot Size Map.
Maintenance,No,", in relation to a heritage item, Aboriginal object or Aboriginal place of heritage significance, or a building, work, archaeological site, tree or place within a heritage conservation area, means ongoing protective care, but does not include the removal or disturbance of existing fabric, alterations (such as carrying out extensions or additions) or the introduction of new materials or technology."
Manufactured Home,,Has the same meaning as in the Local Government Act 1993.
Marina,,"Means a permanent boat storage facility (whether located wholly on land, wholly on a waterway or partly on land and partly on a waterway), and includes any of the following associated facilities— (a) any facility for the construction, repair, maintenance, storage, sale or hire of boats, (b) any facility for providing fuelling, sewage pump-out or other services for boats, (c) any facility for launching or landing boats, such as slipways or hoists, (d) any car parking or commercial, tourist or recreational or club facility that is ancillary to the boat storage facility, (e) any berthing or mooring facilities."
Market,,"Means an open-air area, or an existing building, that is used for the purpose of selling, exposing or offering goods, merchandise or materials for sale by independent stall holders, and includes temporary structures and existing permanent structures used for that purpose on an intermittent or occasional basis.Note— Markets are a type of retail premises—see the definition of that term in this Dictionary."
Mean High Water Mark,No,"Means the position where the plane of the mean high water level of all ordinary local high tides intersects the foreshore, being 1.44m above the zero of Fort Denison Tide Gauge and 0.515m Australian Height Datum."
Medical Centre,,"Means premises that are used for the purpose of providing health services (including preventative care, diagnosis, medical or surgical treatment, counselling or alternative therapies) to out-patients only, where such services are principally provided by health care professionals.It may include the ancillary provision of other health services.Note— Medical centres are a type of health services facility—see the definition of that term in this Dictionary."
Mezzanine,No,Means an intermediate floor within a room.
Mine,,"Means any place (including any excavation) where an operation is carried on for mining of any mineral by any method and any place on which any mining related work is carried out, but does not include a place used only for extractive industry."
Mine Subsidence District,,Means a mine subsidence district proclaimed under section 15 of the Mine Subsidence Compensation Act 1961.
Mining,,"Means mining carried out under the Mining Act 1992 or the recovery of minerals under the Offshore Minerals Act 1999, and includes— (a) the construction, operation and decommissioning of associated works, and (b) the rehabilitation of land affected by mining.Note— Mining is not a type of industry—see the definition of that term in this Dictionary."
Mixed Use Development,,Means a building or place comprising 2 or more different land uses.
Mooring,,"Means a detached or freestanding apparatus located on or in a waterway and that is capable of securing a vessel, but does not include a mooring pen."
Mooring Pen,,Means an arrangement of freestanding piles or other restraining devices designed or used for the purpose of berthing a vessel.
Mortuary,,"Means premises that are used, or intended to be used, for the receiving, preparation, embalming and storage of bodies of deceased persons pending their interment or cremation."
Moveable Dwelling,,"Has the same meaning as in the Local Government Act 1993.Note— The term is defined as follows— moveable dwelling means— (a) any tent, or any caravan or other van or other portable device (whether on wheels or not), used for human habitation, or (b) a manufactured home, or (c) any conveyance, structure or thing of a class or description prescribed by the regulations (under the Local Government Act 1993) for the purposes of this definition."
Multi Dwelling Housing,,"Means 3 or more dwellings (whether attached or detached) on one lot of land, each with access at ground level, but does not include a residential flat building.Note— Multi dwelling housing is a type of residential accommodation—see the definition of that term in this Dictionary."
Native Fauna,No,"Means any animal-life that is indigenous to New South Wales or is known to periodically or occasionally migrate to New South Wales, whether vertebrate (including fish) or invertebrate and in any stage of biological development, but does not include humans."
Native Flora,No,"Means any plant-life that is indigenous to New South Wales, whether vascular or non-vascular and in any stage of biological development, and includes fungi and lichens, and marine vegetation within the meaning of Part 7A of the Fisheries Management Act 1994."
Native Vegetation,,Has the same meaning as in Part 5A of the Local Land Services Act 2013.
Navigable Waterway,,"Means any waterway that is from time to time capable of navigation and is open to or used by the public for navigation, but does not include flood waters that have temporarily flowed over the established bank of a watercourse."
Neighbourhood Shop,,"Means premises used for the purposes of selling general merchandise such as foodstuffs, personal care products, newspapers and the like to provide for the day-to-day needs of people who live or work in the local area, but does not include neighbourhood supermarkets or restricted premises.Note— See clause 5.4 for controls relating to the retail floor area of neighbourhood shops.Neighbourhood shops are a type of shop—see the definition of that term in this Dictionary."
Neighbourhood Supermarket,,Means premises the principal purpose of which is the sale of groceries and foodstuffs to provide for the needs of people who live or work in the local area.Note— See clause 5.4 for controls relating to the gross floor area of neighbourhood supermarkets.Neighbourhood supermarkets are a type of shop—see the definition of that term in this Dictionary.
Nominated State Heritage Item,No,"Means a heritage item that— (a) has been identified as an item of State significance in a publicly exhibited heritage study adopted by the Council, and (b) the Council has, by notice in writing to the Heritage Council, nominated as an item of potential State significance."
Non-native Plant,No,Means a plant that is not native vegetation.
Non-potable Water,No,Means water that does not meet the standards or values for drinking water recommended from time to time by the National Health and Medical Research Council.
Nsw Oyster Industry Sustainable Aquaculture Strategy,No,"Means the third edition of the publication of that title, as published in 2016 by the Department of Primary Industries (within the Department of Industry)."
Observatory Director,No,Means the Director of the Research School of Astronomy and Astrophysics at the Australian National University.
Offensive Industry,,"Means a building or place used to carry out an industrial activity that would, when carried out and when all measures proposed to reduce or minimise its impact on the locality have been employed (including, for example, measures to isolate the activity from existing or likely future development on other land in the locality), emit a polluting discharge (including, for example, noise) in a manner that would have a significant adverse impact in the locality or on existing or likely future development on other land in the locality.Note— Offensive industries are a type of heavy industry—see the definition of that term in this Dictionary."
Offensive Storage Establishment,,"Means a building or place that is used for the storage of goods, materials or products and that would, when all measures proposed to reduce or minimise its impact on the locality have been employed (including, for example, measures to isolate the building or place from existing or likely future development on other land in the locality), emit a polluting discharge (including, for example, noise) in a manner that would have a significant adverse impact in the locality or on existing or likely future development on other land in the locality.Note— Offensive storage establishments are a type of heavy industrial storage establishment—see the definition of that term in this Dictionary."
Office Premises,,"Means a building or place used for the purpose of administrative, clerical, technical, professional or similar activities that do not include dealing with members of the public at the building or place on a direct and regular basis, except where such dealing is a minor activity (by appointment) that is ancillary to the main purpose for which the building or place is used.Note— Office premises are a type of commercial premises—see the definition of that term in this Dictionary."
Open Cut Mining,,"Means mining carried out on, and by excavating, the earth’s surface, but does not include underground mining."
Operational Land,No,Has the same meaning as in the Local Government Act 1993.
Outside Light Fitting,,"Means a light fitting that is attached or fixed outside, including on the exterior, of a building."
Oyster Aquaculture,,Means the cultivation of any species of edible oyster for a commercial purpose.Note— Oyster aquaculture is a type of aquaculture—see the definition of that term in this Dictionary.
Parking Space,,"Means a space dedicated for the parking of a motor vehicle, including any manoeuvring space and access to it, but does not include a car park."
Passenger Transport Facility,,"Means a building or place used for the assembly or dispersal of passengers by any form of transport, including facilities required for parking, manoeuvring, storage or routine servicing of any vehicle that uses the building or place."
People Who Are Socially Disadvantaged,No,"Means— (a) people who are disadvantaged because of their alcohol or drug dependence, extreme poverty, psychological disorder or other similar disadvantage, or (b) people who require protection because of domestic violence or upheaval."
People With A Disability,No,"Means people of any age who, as a result of having an intellectual, psychiatric, sensory, physical or similar impairment, or a combination of such impairments, either permanently or for an extended period, have substantially limited opportunities to enjoy full and active lives."
Pig Farm,,"Means land that is used to keep or breed pigs for animal production, whether an indoor, outdoor, free-range or other type of operation.Note— Pig farms are a type of intensive livestock agriculture—see the definition of that term in this Dictionary."
Place Of Public Worship,,"Means a building or place used for the purpose of religious worship by a congregation or religious group, whether or not the building or place is also used for counselling, social events, instruction or religious training."
Plant Nursery,,"Means a building or place the principal purpose of which is the retail sale of plants that are grown or propagated on site or on an adjacent site.It may include the on-site sale of any such plants by wholesale and, if ancillary to the principal purpose for which the building or place is used, the sale of landscape and gardening supplies and equipment and the storage of these items.Note— Plant nurseries are a type of retail premises—see the definition of that term in this Dictionary."
Pond-based Aquaculture,,"Means aquaculture undertaken predominantly in ponds, raceways or dams (including any part of the aquaculture undertaken in tanks such as during the hatchery or depuration phases), but not including natural water-based aquaculture.Note— Pond-based aquaculture is a type of aquaculture—see the definition of that term in this Dictionary.Typical pond-based aquaculture is the pond culture of prawns, yabbies or silver perch."
Port Facilities,,"Means any of the following facilities at or in the vicinity of a designated port within the meaning of section 47 of the Ports and Maritime Administration Act 1995— (a) facilities for the embarkation or disembarkation of passengers onto or from any vessels, including public ferry wharves, (b) facilities for the loading or unloading of freight onto or from vessels and associated receival, land transport and storage facilities, (c) wharves for commercial fishing operations, (d) refuelling, launching, berthing, mooring, storage or maintenance facilities for any vessel, (e) sea walls or training walls, (f) administration buildings, communication, security and power supply facilities, roads, rail lines, pipelines, fencing, lighting or car parks."
Potable Water,,Means water that meets the standards or values for drinking water recommended from time to time by the National Health and Medical Research Council.
Poultry Farm,,"Means land that is used to keep or breed poultry for animal production, whether for meat or egg production (or both) and whether an indoor, outdoor, free-range or other type of operation.Note— Poultry farms are a type of intensive livestock agriculture—see the definition of that term in this Dictionary."
Primitive Camping Ground,,"Means a camping ground approved under the Local Government Act 1993, Chapter 7, Part 1 as a primitive camping ground.Note— Primitive camping ground is a type of camping ground—see the definition of that term in this Dictionary."
Principal Dwelling,No,"), and"
Priority Oyster Aquaculture Area,,"Means an area identified as a priority oyster aquaculture area on a map referred to in Chapter 5.3 of the NSW Oyster Industry Sustainable Aquaculture Strategy, being a map a copy of which is held in the head office of the Department of Primary Industries (within the Department of Industry) and published on that Department’s website."
Private Open Space,,"Means an area external to a building (including an area of land, terrace, balcony or deck) that is used for private outdoor purposes ancillary to the use of the building."
Private Service Provider,No,Means a person or body that has entered into an agreement that is in force with Fire and Rescue NSW to monitor fire alarm systems.
Probable Maximum Flood,No,Has the same meaning as in the Flood Risk Management Manual.
Property Vegetation Plan,No,Mean a property vegetation plan approved under Part 4 of the Native Vegetation Act 2003 before the repeal of that Act (as continued in force by the regulations under the Biodiversity Conservation Act 2016).
Pub,,"Means licensed premises under the Liquor Act 2007 the principal purpose of which is the retail sale of liquor for consumption on the premises, whether or not the premises include hotel or motel accommodation and whether or not food is sold or entertainment is provided on the premises.Note— Pubs are a type of food and drink premises—see the definition of that term in this Dictionary."
Public Administration Building,,"Means a building used as offices or for administrative or other like purposes by the Crown, a statutory body, a council or an organisation established for public purposes, and includes a courthouse or a police station."
Public Authority,No,Has the same meaning as in the Act.
Public Bushland,No,"Means land— (a) on which there is vegetation that is— (i) a remainder of the natural vegetation of the land, or (ii) representative of the structure and floristics of the natural vegetation of the land, and (b) that is owned, managed or reserved for open space or environmental conservation by the Council or a public authority."
Public Land,No,Has the same meaning as in the Local Government Act 1993.
Public Place,No,Has the same meaning as it has in the Local Government Act 1993.
Public Reserve,No,Has the same meaning as in the Local Government Act 1993.
Public Utility Undertaking,No,"Means any of the following undertakings carried on or permitted to be carried on by or by authority of any Public Service agency or under the authority of or in pursuance of any Commonwealth or State Act— (a) railway, road transport, water transport, air transport, wharf or river undertakings, (b) undertakings for the supply of water, hydraulic power, electricity or gas or the provision of sewerage or drainage services, and a reference to a person carrying on a public utility undertaking includes a reference to a council, electricity supply authority, Public Service agency, corporation, firm or authority carrying on the undertaking."
Rainwater Tank,No,Means a tank designed for the storage of rainwater gathered on the land on which the tank is situated.
Recreation Area,,"Means a place used for outdoor recreation that is normally open to the public, and includes— (a) a children’s playground, or (b) an area used for community sporting activities, or (c) a public park, reserve or garden or the like, and any ancillary buildings, but does not include a recreation facility (indoor), recreation facility (major) or recreation facility (outdoor)."
Recreation Facility (indoor),,"Means a building or place used predominantly for indoor recreation, whether or not operated for the purposes of gain, including a squash court, indoor swimming pool, gymnasium, table tennis centre, health studio, bowling alley, ice rink or any other building or place of a like character used for indoor recreation, but does not include an entertainment facility, a recreation facility (major) or a registered club."
Recreation Facility (major),,"Means a building or place used for large-scale sporting or recreation activities that are attended by large numbers of people whether regularly or periodically, and includes theme parks, sports stadiums, showgrounds, racecourses and motor racing tracks."
Recreation Facility (outdoor),,"Means a building or place (other than a recreation area) used predominantly for outdoor recreation, whether or not operated for the purposes of gain, including a golf course, golf driving range, mini-golf centre, tennis court, paint-ball centre, lawn bowling green, outdoor swimming pool, equestrian centre, skate board ramp, go-kart track, rifle range, water-ski centre or any other building or place of a like character used for outdoor recreation (including any ancillary buildings), but does not include an entertainment facility or a recreation facility (major)."
Reduced Level (rl),No,"Means height above the Australian Height Datum, being the datum surface approximating mean sea level that was adopted by the National Mapping Council of Australia in May 1971."
Registered Club,,Means a club that holds a club licence under the Liquor Act 2007.
Registered Community Housing Provider,No,"Has the same meaning as in the Community Housing Providers (Adoption of National Law) Act 2012, section 13."
Relic,No,"Has the same meaning as in the Heritage Act 1977.Note— The term is defined as follows— relic means any deposit, artefact, object or material evidence that— (a) relates to the settlement of the area that comprises New South Wales, not being Aboriginal settlement, and (b) is of State or local heritage significance."
Research Station,,"Means a building or place operated by a public authority for the principal purpose of agricultural, environmental, fisheries, forestry, minerals or soil conservation research, and includes any associated facility for education, training, administration or accommodation."
Residential Accommodation,,—see the definition of that term in this Dictionary.
Residential Care Facility,,"Means accommodation for seniors or people with a disability that includes— (a) meals and cleaning services, and (b) personal care or nursing care, or both, and (c) appropriate staffing, furniture, furnishings and equipment for the provision of that accommodation and care, but does not include a dwelling, hostel, hospital or psychiatric facility.Note— Residential care facilities are a type of seniors housing—see the definition of that term in this Dictionary."
Residential Flat Building,,"Means a building containing 3 or more dwellings, but does not include an attached dwelling, co-living housing or multi dwelling housing.Note— Residential flat buildings are a type of residential accommodation—see the definition of that term in this Dictionary."
Residential Zone,No,"Means Zone RU4 Primary Production Small Lots, Zone RU5 Village, Zone RU6 Transition, Zone R1 General Residential, Zone R2 Low Density Residential, Zone R3 Medium Density Residential, Zone R4 High Density Residential, Zone R5 Large Lot Residential, Zone E3 Productivity Support, Zone MU1 Mixed Use, Zone C3 Environmental Management or Zone C4 Environmental Living."
Resource Recovery Facility,,"Means a building or place used for the recovery of resources from waste, including works or activities such as separating and sorting, processing or treating the waste, composting, temporary storage, transfer or sale of recovered resources, energy generation from gases and water treatment, but not including re-manufacture or disposal of the material by landfill or incineration.Note— Resource recovery facilities are a type of waste or resource management facility—see the definition of that term in this Dictionary."
Respite Day Care Centre,,Means a building or place that is used for the care of seniors or people who have a disability and that does not provide overnight accommodation for people other than those related to the owner or operator of the centre.
Restaurant Or Cafe,,"Means a building or place the principal purpose of which is the preparation and serving, on a retail basis, of food and drink to people for consumption on the premises, whether or not liquor, take away meals and drinks or entertainment are also provided, but does not include the preparation and serving of food and drink to people that occurs as part of— (a) an artisan food and drink industry, or (b) farm gate premises.Note— Restaurants or cafes are a type of food and drink premises—see the definition of that term in this Dictionary."
Restricted Premises,,"Means premises that, due to their nature, restrict access to patrons or customers over 18 years of age, and includes sex shops and similar premises, but does not include a pub, hotel or motel accommodation, home occupation (sex services) or sex services premises."
Restriction Facilities,,"Means facilities where animals are constrained for management purposes, including milking sheds, pads, feed stalls, holding yards and paddocks where the number of livestock exceeds the ability of vegetation to recover from the effects of grazing in a normal growing season, but does not include facilities for drought or similar emergency relief."
Retail Premises,,—see the definition of that term in this Dictionary.
Road,,"Means a public road or a private road within the meaning of the Roads Act 1993, and includes a classified road."
Roadside Stall,,Means a place or temporary structure used for the retail sale of agricultural produce or hand crafted goods (or both) produced from the property on which the stall is situated or from an adjacent property.Note— See clause 5.4 for controls relating to the gross floor area of roadside stalls.Roadside stalls are a type of retail premises—see the definition of that term in this Dictionary.
Rural Industry,,—see the definition of that term in this Dictionary.
Rural Supplies,,"Means a building or place used for the display, sale or hire of stockfeeds, grains, seed, fertilizers, veterinary supplies and other goods or materials used in farming and primary industry production.Note— Rural supplies are a type of retail premises—see the definition of that term in this Dictionary."
Rural Worker’s Dwelling,,"Means a building or place that is additional to a dwelling house on the same lot and that is used predominantly as a place of residence by persons employed, whether on a long-term or short-term basis, for the purpose of agriculture or a rural industry on that land.Note— Rural workers’ dwellings are a type of residential accommodation—see the definition of that term in this Dictionary."
Sawmill Or Log Processing Works,,"Means a building or place used for handling, cutting, chipping, pulping or otherwise processing logs, baulks, branches or stumps, principally derived from surrounding districts, into timber or other products derived from wood.Note— Sawmill or log processing works are a type of rural industry—see the definition of that term in this Dictionary."
School,,Means a government school or non-government school within the meaning of the Education Act 1990.Note— Schools are a type of educational establishment—see the definition of that term in this Dictionary.
School-based Child Care,,"Means a building or place within a school that is used to provide out-of-school-hours care (including vacation care) for school children only.Note 1— Accordingly, a building or place within a school that is used to provide out-of-school-hours care for both school children and pre-school children is not school-based child care.Note 2— School-based child care is a type of early education and care facility—see the definition of that term in this Dictionary."
Secondary Dwelling,,In the Dictionary requires the dwelling to be on the same lot of land as the principal dwelling.
Self-storage Units,,Means premises that consist of individual enclosed compartments for storing goods or materials (other than hazardous or offensive goods or materials).Note— Self-storage units are a type of storage premises—see the definition of that term in this Dictionary.
Semi-detached Dwelling,,Means a dwelling that is on its own lot of land and is attached to only one other dwelling.Note— Semi-detached dwellings are a type of residential accommodation—see the definition of that term in this Dictionary.
Seniors Housing,,—see the definition of that term in this Dictionary.
Sensitive And Hazardous Development,No,"Means development for the following purposes— (a) [list land uses] Direction— Only the following land uses are permitted to be included in the list— (a) boarding houses, (b) caravan parks, (c) correctional centres, (d) early education and care facilities, (e) eco-tourist facilities, (f) educational establishments, (g) emergency services facilities, (h) group homes, (i) hazardous industries, (j) hazardous storage establishments, (k) hospitals, (l) hostels, (m) information and education facilities, (n) respite day care centres, (o) seniors housing, (p) sewerage systems, (q) tourist and visitor accommodation, (r) water supply systems."
Service Station,,"Means a building or place used for the sale by retail of fuels and lubricants for motor vehicles, whether or not the building or place is also used for any one or more of the following— (a) the ancillary sale by retail of spare parts and accessories for motor vehicles, (b) the cleaning of motor vehicles, (c) installation of accessories, (d) inspecting, repairing and servicing of motor vehicles (other than body building, panel beating, spray painting, or chassis restoration), (e) the ancillary retail selling or hiring of general merchandise or services or both."
Serviced Apartment,,Means a building (or part of a building) providing self-contained accommodation to tourists or visitors on a commercial basis and that is regularly serviced or cleaned by the owner or manager of the building or part of the building or the owner’s or manager’s agents.Note— Serviced apartments are a type of tourist and visitor accommodation—see the definition of that term in this Dictionary.
Sewage Reticulation System,No,"Means a building or place used for the collection and transfer of sewage to a sewage treatment plant or water recycling facility for treatment, or transfer of the treated waste for use or disposal, including associated— (a) pipelines and tunnels, and (b) pumping stations, and (c) dosing facilities, and (d) odour control works, and (e) sewage overflow structures, and (f) vent stacks.Note— Sewage reticulation systems are a type of sewerage system—see the definition of that term in this Dictionary."
Sewage Treatment Plant,,"Means a building or place used for the treatment and disposal of sewage, whether or not the facility supplies recycled water for use as an alternative water supply.Note— Sewage treatment plants are a type of sewerage system—see the definition of that term in this Dictionary."
Sewerage System,,—see the definition of that term in this Dictionary.
Sex Services,,Means sexual acts or sexual services in exchange for payment.
Sex Services Premises,,"Means a brothel, but does not include home occupation (sex services)."
Shielded Light Fitting,No,Means a light fitting that does not permit light to shine above the horizontal plane.
Shop,,S are a type of shop—see the definition of that term in this Dictionary.
Shop Top Housing,,"Means one or more dwellings located above the ground floor of a building, where at least the ground floor is used for commercial premises or health services facilities.Note— Shop top housing is a type of residential accommodation—see the definition of that term in this Dictionary."
Siding Spring Observatory,No,Means the land owned by the Australian National University at Siding Spring and the buildings and equipment situated on that land.
Signage,No,—see the definition of that term in this Dictionary.
Site Area,No,"Of proposed development for the purpose of applying a floor space ratio, the site area is taken to be— (a) if the proposed development is to be carried out on only one lot, the area of that lot, or (b) if the proposed development is to be carried out on 2 or more lots, the area of any lot on which the development is proposed to be carried out that has at least one common boundary with another lot on which the development is being carried out."
Site Coverage,No,"Means the proportion of a site area covered by buildings.However, the following are not included for the purpose of calculating site coverage— (a) any basement, (b) any part of an awning that is outside the outer walls of a building and that adjoins the street frontage or other site boundary, (c) any eaves, (d) unenclosed balconies, decks, pergolas and the like."
Small Bar,,Means a small bar within the meaning of the Liquor Act 2007.Note— Small bars are a type of food and drink premises—see the definition of that term in this Dictionary.
Spa Pool,,"Has the same meaning as in the Swimming Pools Act 1992.Note— The term is defined to include any excavation, structure or vessel in the nature of a spa pool, flotation tank, tub or the like."
Specialised Retail Premises,,"Means a building or place the principal purpose of which is the sale, hire or display of goods that are of a size, weight or quantity, that requires— (a) a large area for handling, display or storage, or (b) direct vehicular access to the site of the building or place by members of the public for the purpose of loading or unloading such goods into or from their vehicles after purchase or hire, but does not include a building or place used for the sale of foodstuffs or clothing unless their sale is ancillary to the sale, hire or display of other goods referred to in this definition.Note— Examples of goods that may be sold at specialised retail premises include automotive parts and accessories, household appliances and fittings, furniture, homewares, office equipment, outdoor and recreation equipment, pet supplies and party supplies.Specialised retail premises are a type of retail premises—see the definition of that term in this Dictionary."
Standard Plan,No,"), and (b) if the direction commences after the commencement of the standard plan."
Stock And Sale Yard,,Means a building or place that is used on a commercial basis for the purpose of offering livestock or poultry for sale and that may be used for the short-term storage and watering of stock.Note— Stock and sale yards are a type of rural industry—see the definition of that term in this Dictionary.
Storage Premises,,—see the definition of that term in this Dictionary.
Storey,,"Means a space within a building that is situated between one floor level and the floor level next above, or if there is no floor above, the ceiling or roof above, but does not include— (a) a space that contains only a lift shaft, stairway or meter room, or (b) a mezzanine, or (c) an attic."
Swimming Pool,,"Has the same meaning as in the Swimming Pools Act 1992.Note— The term is defined as follows— swimming pool means an excavation, structure or vessel— (a) that is capable of being filled with water to a depth of 300 millimetres or more, and (b) that is solely or principally used, or that is designed, manufactured or adapted to be solely or principally used, for the purpose of swimming, wading, paddling or any other human aquatic activity, and includes a spa pool, but does not include a spa bath, anything that is situated within a bathroom or anything declared by the regulations made under the Swimming Pools Act 1992 not to be a swimming pool for the purposes of that Act."
Take Away Food And Drink Premises,,Means premises that are predominantly used for the preparation and retail sale of food or drink (or both) for immediate consumption away from the premises.Note— Take away food and drink premises are a type of food and drink premises—see the definition of that term in this Dictionary.
Tank-based Aquaculture,,"Means aquaculture undertaken exclusively in tanks, but not including natural water-based aquaculture.Note— Tank-based aquaculture is a type of aquaculture—see the definition of that term in this Dictionary.Typical tank-based aquaculture is the tank culture of barramundi or abalone."
Telecommunications Facility,,"Means— (a) any part of the infrastructure of a telecommunications network, or (b) any line, cable, optical fibre, fibre access node, interconnect point equipment, apparatus, tower, mast, antenna, dish, tunnel, duct, hole, pit, pole or other structure in connection with a telecommunications network, or (c) any other thing used in or in connection with a telecommunications network."
Telecommunications Network,,"Means a system, or series of systems, that carries, or is capable of carrying, communications by means of guided or unguided electromagnetic energy, or both."
Temporary Structure,,"Has the same meaning as in the Act.Note— The term is defined as follows— temporary structure includes a booth, tent or other temporary enclosure (whether or not part of the booth, tent or enclosure is permanent), and also includes a mobile structure."
The Act,No,Means the Environmental Planning and Assessment Act 1979.
